Close,High,Low,Open,Volume,Volume_missing,ffill_volume,bfill_volume,interpolted_volume,Moving_avg_volume
48293.91796875,48535.9375,47617.40625,47768.96875,19315867136,19315867136.0,19315867136.0,19315867136.0,19315867136.0,25010439850.0
49958.22265625,50280.4765625,47745.76171875,48296.38671875,34511985805,34511985805.0,34511985805.0,34511985805.0,34511985805.0,23408844837.0
49742.44140625,50358.390625,48406.49609375,49941.359375,35593051468,35593051468.0,35593051468.0,35593051468.0,35593051468.0,29806968136.333332
51826.6953125,52021.37109375,49296.83203125,49733.4453125,39105608050,39105608050.0,39105608050.0,39105608050.0,39105608050.0,36403548441.0
51938.5546875,52820.06640625,51371.62890625,51836.78515625,38564360533,38564360533.0,38564360533.0,38564360533.0,38564360533.0,37754340017.0
52160.203125,52537.96875,51641.3671875,51937.7265625,28180567298,28180567298.0,28180567298.0,28180567298.0,28180567298.0,35283511960.333336
51662.99609375,52191.9140625,50669.66796875,52161.67578125,20009091006,20009091006.0,20009091006.0,20009091006.0,20009091006.0,28918006279.0
52122.546875,52356.96484375,51233.70703125,51661.96875,17595377311,17595377311.0,17595377311.0,17595377311.0,17595377311.0,21928345205.0
51779.14453125,52483.32421875,51711.8203125,52134.8125,21362184346,21362184346.0,21362184346.0,21362184346.0,21362184346.0,19655550887.666668
52284.875,52945.05078125,50792.3125,51777.7265625,33353758256,33353758256.0,33353758256.0,33353758256.0,33353758256.0,24103773304.333332
51839.1796875,52368.81640625,50671.7578125,52273.53515625,28624907020,28624907020.0,28624907020.0,28624907020.0,28624907020.0,27780283207.333332
51304.97265625,52009.61328125,50926.29296875,51854.64453125,25413900611,25413900611.0,25413900611.0,25413900611.0,25413900611.0,29130855295.666668
50731.94921875,51497.93359375,50561.77734375,51283.90625,21427078270,21427078270.0,21427078270.0,21427078270.0,21427078270.0,25155295300.333332
51571.1015625,51684.1953125,50585.4453125,50736.37109375,15174077879,15174077879.0,15174077879.0,15174077879.0,15174077879.0,20671685586.666668
51733.23828125,51950.02734375,51306.171875,51565.21484375,15413239245,15413239245.0,15413239245.0,15413239245.0,15413239245.0,17338131798.0
54522.40234375,54938.17578125,50931.03125,51730.5390625,34074411896,34074411896.0,34074411896.0,34074411896.0,34074411896.0,21553909673.333332
57085.37109375,57537.83984375,54484.19921875,54519.36328125,49756832031,49756832031.0,49756832031.0,49756832031.0,49756832031.0,33081494390.666668
62504.7890625,63913.1328125,56738.42578125,57071.09765625,83239156760,83239156760.0,83239156760.0,83239156760.0,83239156760.0,55690133562.333336
61198.3828125,63585.64453125,60498.73046875,62499.18359375,65496611844,65496611844.0,65496611844.0,65496611844.0,65496611844.0,66164200211.666664
62440.6328125,63155.1015625,60802.52734375,61168.0625,40186368423,40186368423.0,40186368423.0,40186368423.0,40186368423.0,62974045675.666664
62029.84765625,62458.69921875,61657.2890625,62431.65234375,23888473685,23888473685.0,23888473685.0,23888473685.0,23888473685.0,43190484650.666664
63167.37109375,63230.2109375,61435.0234375,62031.578125,26253811450,26253811450.0,26253811450.0,26253811450.0,26253811450.0,30109551186.0
68330.4140625,68537.03125,62386.51953125,63137.00390625,70670471105,70670471105.0,70670471105.0,70670471105.0,70670471105.0,40270918746.666664
63801.19921875,69170.625,59323.91015625,68341.0546875,102802940877,102802940877.0,102802940877.0,102802940877.0,102802940877.0,66575741144.0
66106.8046875,67637.9296875,62848.671875,63776.05078125,68750229073,68750229073.0,68750229073.0,68750229073.0,68750229073.0,80741213685.0
66925.484375,68029.921875,65655.53125,66099.7421875,46989543159,46989543159.0,46989543159.0,46989543159.0,46989543159.0,72847571036.33333
68300.09375,70083.0546875,66230.453125,66938.09375,59202881172,59202881172.0,59202881172.0,59202881172.0,59202881172.0,58314217801.333336
68498.8828125,68673.0546875,68053.125,68299.2578125,21609650379,21609650379.0,21609650379.0,21609650379.0,21609650379.0,42600691570.0
69019.7890625,70005.203125,68239.9765625,68500.2578125,35683977532,35683977532.0,35683977532.0,35683977532.0,35683977532.0,38832169694.333336
72123.90625,72850.7109375,67194.8828125,69020.546875,65716656765,65716656765.0,65716656765.0,65716656765.0,65716656765.0,41003428225.333336
71481.2890625,72825.65625,68728.8515625,72125.125,62554434520,62554434520.0,62554434520.0,62554434520.0,62554434520.0,54651689605.666664
73083.5,73637.4765625,71334.09375,71482.1171875,48212536929,48212536929.0,48212536929.0,48212536929.0,48212536929.0,58827876071.333336
71396.59375,73750.0703125,68563.0234375,73079.375,59594605698,59594605698.0,59594605698.0,59594605698.0,59594605698.0,56787192382.333336
69403.7734375,72357.1328125,65630.6953125,71387.875,78320453976,78320453976.0,78320453976.0,78320453976.0,78320453976.0,62042532201.0
65315.1171875,70046.2734375,64801.39453125,69392.484375,46842198371,46842198371.0,46842198371.0,46842198371.0,46842198371.0,61585752681.666664
68390.625,68845.71875,64545.31640625,65316.34375,44716864318,44716864318.0,44716864318.0,44716864318.0,44716864318.0,56626505555.0
67548.59375,68897.1328125,66594.2265625,68371.3046875,49261579492,49261579492.0,49261579492.0,49261579492.0,49261579492.0,46940214060.333336
61912.7734375,68106.9296875,61536.1796875,67556.1328125,74215844794,74215844794.0,74215844794.0,74215844794.0,74215844794.0,56064762868.0
67913.671875,68115.2578125,60807.78515625,61930.15625,66792634382,66792634382.0,66792634382.0,66792634382.0,66792634382.0,63423352889.333336
65491.390625,68199.9921875,64580.91796875,67911.5859375,44480350565,44480350565.0,44480350565.0,44480350565.0,44480350565.0,61829609913.666664
63778.76171875,66623.75,62355.37109375,65489.9296875,41401116964,41401116964.0,41401116964.0,41401116964.0,41401116964.0,50891367303.666664
64062.203125,65976.3984375,63038.4921875,63802.72265625,24738964812,24738964812.0,24738964812.0,24738964812.0,24738964812.0,36873477447.0
67234.171875,67622.7578125,63825.8515625,64070.75390625,27206630673,27206630673.0,27206630673.0,27206630673.0,27206630673.0,31115570816.333332
69958.8125,71162.59375,66414.8359375,67234.09375,42700139523,42700139523.0,42700139523.0,42700139523.0,42700139523.0,31548578336.0
69987.8359375,71535.7421875,69335.609375,69931.328125,36010437368,36010437368.0,36010437368.0,36010437368.0,36010437368.0,35305735854.666664
69455.34375,71727.6875,68381.9296875,69991.8984375,40827113309,40827113309.0,40827113309.0,40827113309.0,40827113309.0,39845896733.333336
70744.953125,71546.0234375,68895.5078125,69452.7734375,34374900617,34374900617.0,34374900617.0,34374900617.0,34374900617.0,37070817098.0
69892.828125,70913.09375,69076.65625,70744.796875,25230851763,25230851763.0,25230851763.0,25230851763.0,25230851763.0,33477621896.333332
69645.3046875,70355.4921875,69601.0625,69893.4453125,17130241883,17130241883.0,17130241883.0,17130241883.0,17130241883.0,25578664754.333332
71333.6484375,71377.78125,69624.8671875,69647.78125,20050941373,20050941373.0,20050941373.0,20050941373.0,20050941373.0,20804011673.0
69702.1484375,71342.09375,68110.6953125,71333.484375,34873527352,34873527352.0,34873527352.0,34873527352.0,34873527352.0,24018236869.333332
65446.97265625,69708.3828125,64586.59375,69705.0234375,50705240709,50705240709.0,50705240709.0,50705240709.0,50705240709.0,35209903144.666664
65980.8125,66914.3203125,64559.8984375,65446.671875,34488018367,34488018367.0,34488018367.0,34488018367.0,34488018367.0,40022262142.666664
68508.84375,69291.2578125,65113.796875,65975.6953125,34439527442,34439527442.0,34439527442.0,34439527442.0,34439527442.0,39877595506.0
67837.640625,68725.7578125,66011.4765625,68515.7578125,33748230056,33748230056.0,33748230056.0,33748230056.0,33748230056.0,34225258621.666668
68896.109375,69629.6015625,67491.71875,67840.5703125,19967785809,19967785809.0,19967785809.0,19967785809.0,19967785809.0,29385181102.333332
69362.5546875,70284.4296875,68851.6328125,68897.109375,21204930369,21204930369.0,21204930369.0,21204930369.0,21204930369.0,24973648744.666668
71631.359375,72715.359375,69064.2421875,69362.5546875,37261432669,37261432669.0,37261432669.0,37261432669.0,37261432669.0,26144716282.333332
69139.015625,71742.5078125,68212.921875,71632.5,36426900409,36426900409.0,36426900409.0,36426900409.0,36426900409.0,31631087815.666668
70587.8828125,71093.4296875,67503.5625,69140.2421875,38318601774,38318601774.0,38318601774.0,38318601774.0,38318601774.0,37335644950.666664
70060.609375,71256.234375,69571.8125,70575.734375,30153382941,30153382941.0,30153382941.0,30153382941.0,30153382941.0,34966295041.333336
67195.8671875,71222.7421875,65254.8359375,70061.3828125,44129299406,44129299406.0,44129299406.0,44129299406.0,44129299406.0,37533761373.666664
63821.47265625,67931.4296875,60919.10546875,67188.375,52869738185,52869738185.0,52869738185.0,52869738185.0,52869738185.0,42384140177.333336
65738.7265625,65824.4296875,62205.8515625,63836.23046875,49084320047,49084320047.0,49084320047.0,49084320047.0,49084320047.0,48694452546.0
63426.2109375,66878.6484375,62332.0703125,65739.6484375,43595917654,43595917654.0,43595917654.0,43595917654.0,43595917654.0,48516658628.666664
