Close,High,Low,Open,Volume,CPIAUCSL,Inflation,Return,Real_return,Log_Return,rv
44167.33203125,44175.4375,42214.9765625,42280.234375,18426978443,309.698,0.0030996854969052023,0.0450049945064126,0.04177581711507439,,
44957.96875,45899.70703125,44176.94921875,44187.140625,39335274536,309.698,0.0030996854969052023,0.017900939051301412,0.014755516095156684,0.01774260401360504,
42848.17578125,45503.2421875,40813.53515625,44961.6015625,46342323118,309.698,0.0030996854969052023,-0.04692812036242189,-0.049873214579411296,-0.04806495357875531,
44179.921875,44770.0234375,42675.17578125,42855.81640625,30448091210,309.698,0.0030996854969052023,0.03108057856532498,0.027894429111059882,0.030607357718285957,
44162.69140625,44353.28515625,42784.71875,44192.98046875,32336029347,309.698,0.0030996854969052023,-0.0003900067727314882,-0.0034789087466496893,-0.0003900828451526924,
43989.1953125,44227.6328125,43475.15625,44178.953125,16092503468,309.698,0.0030996854969052023,-0.003928567037593367,-0.007006534481183713,-0.00393630412750998,
43943.09765625,44495.5703125,43662.23046875,43998.46484375,19330573863,309.698,0.0030996854969052023,-0.0010479313368322307,-0.00413480025335955,-0.0010484808007761193,
46970.50390625,47218.0,43244.08203125,43948.70703125,42746192015,309.698,0.0030996854969052023,0.06889378335779228,0.06559078704953913,0.06662426635587362,
46139.73046875,47893.69921875,45244.71484375,46987.640625,39821290992,309.698,0.0030996854969052023,-0.017687130611972357,-0.02072258262007165,-0.01784541710643821,
46627.77734375,47647.22265625,44483.15234375,46121.5390625,50114613298,309.698,0.0030996854969052023,0.010577584004972662,0.007454791000520711,0.01052203275194838,
46368.5859375,48969.37109375,45678.64453125,46656.07421875,45833734549,309.698,0.0030996854969052023,-0.005558733892443213,-0.008631663945801504,-0.005574241147522551,
42853.16796875,46498.13671875,41903.76953125,46354.79296875,43332698900,309.698,0.0030996854969052023,-0.07581464687080208,-0.07867047862607546,-0.07884262883299366,
42842.3828125,43234.66015625,42464.14453125,42799.4453125,20601860469,309.698,0.0030996854969052023,-0.0002516769882185965,-0.00334100641599111,-0.0002517086641866489,
41796.26953125,43065.59765625,41724.61328125,42842.26171875,17521429522,309.698,0.0030996854969052023,-0.0244177193838242,-0.027432373151525913,-0.024720775355358247,
42511.96875,43319.72265625,41705.41796875,41715.06640625,22320220558,309.698,0.0030996854969052023,0.01712351907901466,0.0139804984338745,0.01697856404641987,
43154.9453125,43566.2734375,42085.99609375,42499.3359375,24062872740,309.698,0.0030996854969052023,0.015124600939588229,0.011987757165656143,0.015011364505806485,
42742.65234375,43189.890625,42189.30859375,43132.1015625,20851232595,309.698,0.0030996854969052023,-0.009553782672285682,-0.012614367596898157,-0.009599712825861542,
41262.05859375,42876.34765625,40631.171875,42742.3125,25218357242,309.698,0.0030996854969052023,-0.034639725632667706,-0.03762279230590926,-0.03525390600438047,
41618.40625,42134.16015625,40297.45703125,41278.4609375,25752407154,309.698,0.0030996854969052023,0.00863620644230223,0.005519412502511534,0.008599127738074015,
41665.5859375,41877.89453125,41446.82421875,41624.58984375,11586690904,309.698,0.0030996854969052023,0.0011336255217606617,-0.0019599846391843423,0.0011329834535463317,
41545.78515625,41855.3671875,41497.0078125,41671.48828125,9344043642,309.698,0.0030996854969052023,-0.0028752933279206916,-0.005956515500118109,-0.002879434924556738,
39507.3671875,41651.20703125,39450.1171875,41553.65234375,31338708143,309.698,0.0030996854969052023,-0.049064374667218136,-0.052002867629534544,-0.05030891028125471,
39845.55078125,40127.3515625,38521.89453125,39518.71484375,29244553045,309.698,0.0030996854969052023,0.008560013431039293,0.005443454935816439,0.008523584257922188,
40077.07421875,40483.78515625,39508.796875,39877.59375,22359526178,309.698,0.0030996854969052023,0.005810521700930993,0.002702459429725579,0.005793705727985713,
39933.80859375,40254.48046875,39545.6640625,40075.55078125,18491782013,309.698,0.0030996854969052023,-0.0035747525934159974,-0.006653813361545358,-0.003581157289492955,
41816.87109375,42209.38671875,39825.69140625,39936.81640625,25598119893,309.698,0.0030996854969052023,0.04715459322091098,0.04391877333924432,0.04607657449481696,
42120.0546875,42195.6328125,41431.28125,41815.625,11422941934,309.698,0.0030996854969052023,0.007250269707417489,0.004137758460622143,0.007224112855396914,
42035.59375,42797.17578125,41696.91015625,42126.125,16858971687,309.698,0.0030996854969052023,-0.002005242826170095,-0.005089153547632175,-0.002007256017307645,
43288.24609375,43305.8671875,41818.33203125,42030.9140625,20668476578,309.698,0.0030996854969052023,0.029799801358818767,0.026617609643339923,0.029364415736914624,
42952.609375,43838.9453125,42711.37109375,43300.2265625,23842814518,309.698,0.0030996854969052023,-0.007753530092744043,-0.010819677990700272,-0.007783744989935841,
42582.60546875,43717.40625,42298.9453125,42946.25,24673628793,309.698,0.0030996854969052023,-0.00861423582021903,-0.011677724045264237,-0.008651552809046921,0.5260885913260547
43075.7734375,43243.16796875,41879.19140625,42569.76171875,21423953779,310.967,0.0040975401843086345,0.011581441842771323,0.007453361211390952,0.011514890294239742,
43185.859375,43422.48828125,42584.3359375,43077.640625,18603843039,310.967,0.0040975401843086345,0.0025556346111748063,-0.0015356133357828927,0.002552374530244358,
